pre,protocol,h3,hostname,state,ip,port
"HTTP/1.1 200 OK
Content-Type: text/html
Last-Modified: Sun, 30 Aug 2015 20:19:54 GMT
Accept-Ranges: bytes
ETag: ""14d9b53b61e3d01:0""
Server: Microsoft-IIS/8.5
X-Powered-By: ASP.NET
Date: Thu, 07 Dec 2017 09:43:18 GMT
Content-Length: 701

,Certificate:
    Data:
        Version: 3 (0x2)
        Serial Number:
            d5:25:17:aa:04:e9:8b:9c:7f:73
    Signature Algorithm: sha1WithRSAEncryption
        Issuer: CN=BMS-ITESM
        Validity
            Not Before: Jul  1 15:49:15 2016 GMT
            Not After : Dec 31 23:59:59 2039 GMT
        Subject: CN=BMS-ITESM
        Subject Public Key Info:
            Public Key Algorithm: rsaEncryption
                Public-Key: (1024 bit)
                Modulus:
                    00:c6:4f:ea:8f:4d:d4:88:d8:65:6d:15:98:2f:2a:
                    69:36:7d:a2:f4:96:88:a4:9b:0b:6b:f3:31:01:b7:
                    fc:cb:c7:3e:db:98:77:04:ee:d8:cf:1f:94:70:50:
                    fc:e6:59:fa:ba:c1:73:c6:44:ed:37:b4:4f:64:e0:
                    34:9c:84:ea:20:4d:1f:45:17:0d:7d:c1:d3:e7:2d:
                    99:1d:52:20:f3:69:ab:ad:0f:53:3b:3d:6c:a5:e1:
                    a8:e3:a3:a8:41:f5:51:f6:fd:2d:a8:57:6e:63:51:
                    a5:ef:ac:17:21:bf:17:fc:07:81:35:b3:f2:23:e0:
                    be:23:8f:07:59:0c:4e:f7:d3
                Exponent: 65537 (0x10001)
    Signature Algorithm: sha1WithRSAEncryption
         47:d2:60:1e:0f:ab:5e:56:fc:b6:e1:ec:a2:b1:69:00:5a:8a:
         b4:ed:eb:1a:99:d5:9e:08:8f:b0:7a:b3:55:74:89:a9:f1:fb:
         4a:db:fb:08:79:bf:0e:da:2b:36:09:17:7e:c9:7e:4a:d2:de:
         61:97:64:a4:c2:06:59:72:aa:82:ec:14:39:bf:e4:99:f8:39:
         8f:d2:37:72:de:2d:73:37:3f:ca:19:a0:c2:ef:f9:0e:f0:ad:
         60:20:53:e4:ef:bb:84:5f:09:61:0f:f3:01:44:52:6f:fc:e0:
         c5:16:4b:bc:61:a6:62:44:b1:2b:6d:02:4f:d5:5e:29:72:25:
         49:b8
",tcp,Microsoft IIS httpd,2017-12-07T09:52:18.967197,https,"131.178.5.190
,
",443
"HTTP/1.1 200 OK
Content-Type: text/html
Last-Modified: Fri, 24 Jan 2014 21:37:47 GMT
Accept-Ranges: bytes
ETag: ""f29f4c864c19cf1:0""
Server: Microsoft-IIS/7.5
X-Powered-By: ASP.NET
Date: Sat, 02 Dec 2017 05:48:07 GMT
Content-Length: 8240

",tcp,Microsoft IIS httpd,2017-12-02T05:45:10.837662,http,"131.178.6.5
,
",80
"HTTP/1.1 200 OK
Date: Thu, 30 Nov 2017 11:37:24 GMT
Server: Mbedthis-Appweb/2.4.0
Content-type: text/html
Last-modified: Fri, 14 Jan 2011 00:35:08 GMT
ETag: ""0-450d-4d2f9a3c""
Content-length: 17677
Connection: keep-alive
Keep-Alive: timeout=60000, max=100

",tcp,,2017-12-02T05:45:10.837662,http-simple-new,"131.178.6.5
,
",8000
"220 Microsoft FTP Service
230 Anonymous user logged in.
214-The following  commands are recognized(* ==>'s unimplemented).
   ABOR 
   ACCT 
   ALLO 
   APPE 
   CDUP 
   CWD  
   DELE 
   FEAT 
   HELP 
   LIST 
   MDTM 
   MKD  
   MODE 
   NLST 
   NOOP 
   OPTS 
   PASS 
   PASV 
   PORT 
   PWD  
   QUIT 
   REIN 
   REST 
   RETR 
   RMD  
   RNFR 
   RNTO 
   SITE 
   SIZE 
   SMNT 
   STAT 
   STOR 
   STOU 
   STRU 
   SYST 
   TYPE 
   USER 
   XCUP 
   XCWD 
   XMKD 
   XPWD 
   XRMD 
214  HELP command successful.
211-FEAT
    SIZE
    MDTM
211 END",tcp,Microsoft ftpd,relacioncursos.mty.itesm.mx,ftp,"131.178.6.201
,
",21
"HTTP/1.1 200 OK
Content-Length: 1433
Content-Type: text/html
Content-Location: http://131.178.6.201/iisstart.htm
Last-Modified: Fri, 21 Feb 2003 23:48:30 GMT
Accept-Ranges: bytes
ETag: ""09b60bc3dac21:16ff""
Server: Microsoft-IIS/6.0
X-Powered-By: ASP.NET
Date: Mon, 04 Dec 2017 02:32:17 GMT

",tcp,Microsoft IIS httpd,relacioncursos.mty.itesm.mx,http,"131.178.6.201
,
",80
"Remote Desktop Protocol
\x03\x00\x00\x0b\x06\xd0\x00\x00\x124\x00",tcp,,relacioncursos.mty.itesm.mx,rdp,"131.178.6.201
,
",3389
"220 Microsoft FTP Service
530 User anonymous cannot log in.
214-The following  commands are recognized(* ==>'s unimplemented).
   ABOR 
   ACCT 
   ALLO 
   APPE 
   CDUP 
   CWD  
   DELE 
   FEAT 
   HELP 
   LIST 
   MDTM 
   MKD  
   MODE 
   NLST 
   NOOP 
   OPTS 
   PASS 
   PASV 
   PORT 
   PWD  
   QUIT 
   REIN 
   REST 
   RETR 
   RMD  
   RNFR 
   RNTO 
   SITE 
   SIZE 
   SMNT 
   STAT 
   STOR 
   STOU 
   STRU 
   SYST 
   TYPE 
   USER 
   XCUP 
   XCWD 
   XMKD 
   XPWD 
   XRMD 
214  HELP command successful.
530 Please login with USER and PASS.",tcp,Microsoft ftpd,mty101.mty.itesm.mx,ftp,"131.178.6.48
,
,Web Technologies
",21
"HTTP/1.1 200 OK
Content-Type: text/html
Last-Modified: Thu, 01 Aug 2013 16:34:58 GMT
Accept-Ranges: bytes
ETag: ""b1d3a9fd58ece1:0""
Server: Microsoft-IIS/7.0
X-Powered-By: ASP.NET
Date: Tue, 14 Nov 2017 04:07:47 GMT
Content-Length: 7202

",tcp,Microsoft IIS httpd,mty101.mty.itesm.mx,http,"131.178.6.48
,
,Web Technologies
",80
"Remote Desktop Protocol
\x03\x00\x00\x0b\x06\xd0\x00\x00\x124\x00",tcp,,mty101.mty.itesm.mx,rdp,"131.178.6.48
,
,Web Technologies
",3389
"HTTP/1.1 200 OK
Content-Type: text/html
Last-Modified: Tue, 11 Jan 2005 15:27:32 GMT
Accept-Ranges: bytes
ETag: ""a075b111f2f7c41:0""
Server: Microsoft-IIS/7.5
X-Powered-By: ASP.NET
Date: Sun, 19 Nov 2017 13:28:46 GMT
Content-Length: 184

",tcp,Microsoft IIS httpd,expresat.itesm.mx,http,"131.178.5.11
,
",80
"HTTP/1.1 200 OK
Date: Thu, 16 Nov 2017 07:02:09 GMT
Server: Apache/2.2.3 (CentOS)
Last-Modified: Sat, 05 Dec 2009 12:20:37 GMT
ETag: ""310dc8-1646-40746f40""
Accept-Ranges: bytes
Content-Length: 5702
Connection: close
Content-Type: text/html; charset=UTF-8

",tcp,Apache httpd,monitoreomty.mty.itesm.mx,http,"131.178.5.224
,
,Web Technologies
",80
5.0.95,tcp,MySQL,monitoreomty.mty.itesm.mx,mysql,"131.178.5.224
,
,Web Technologies
",3306
"HTTP/1.1 200 OK
Content-Length: 1433
Content-Type: text/html
Content-Location: http://131.178.6.143/iisstart.htm
Last-Modified: Sat, 22 Feb 2003 00:48:30 GMT
Accept-Ranges: bytes
ETag: ""03251ecdac21:1469""
Server: Microsoft-IIS/6.0
X-Powered-By: ASP.NET
Date: Thu, 16 Nov 2017 20:40:54 GMT

",tcp,Microsoft IIS httpd,metasys.mty.itesm.mx,http,"131.178.6.143
,
",80
"Remote Desktop Protocol
\x03\x00\x00\x0b\x06\xd0\x00\x00\x124\x00",tcp,,metasys.mty.itesm.mx,rdp,"131.178.6.143
,
",3389
"HTTP/1.1 200 OK
Server: Microsoft-IIS/5.1
Date: Thu, 16 Nov 2017 21:33:29 GMT
X-Powered-By: ASP.NET
Connection: close
Content-Length: 13
Content-Type: text/html
Set-Cookie: ASPSESSIONIDCATQASTB=EJNJMGNCFGPJHMJECDHPHEFP; path=/
Cache-control: private

",tcp,Microsoft IIS httpd,AS6342,http,"131.178.5.89
",80
"Remote Desktop Protocol
\x03\x00\x00\x0b\x06\xd0\x00\x00\x124\x00",tcp,,AS6342,rdp,"131.178.5.89
",3389
"HTTP/1.1 200 OK
Content-Length: 128
Content-Type: text/html
Content-Location: http://131.178.32.50/default.htm
Last-Modified: Mon, 31 May 2010 22:35:48 GMT
Accept-Ranges: bytes
ETag: ""ce291c9e111cb1:2092""
Server: Microsoft-IIS/6.0
X-Powered-By: ASP.NET
Date: Sat, 25 Nov 2017 11:55:56 GMT

",tcp,Microsoft IIS httpd,dipfmaxi.mty.itesm.mx,http,"131.178.32.50
,
",80
"HTTP/1.1 200 OK
Date: Mon, 20 Nov 2017 22:54:33 GMT
Server: Apache/2.2.17 (Win32) PHP/5.2.10
X-Powered-By: PHP/5.2.10
Content-Length: 184
Connection: close
Content-Type: text/html

",tcp,Apache httpd,reportec.mty.itesm.mx,http,"131.178.32.87
,
",80
"220 Welcome to the Computer Sciences' FTP service.
530 Login incorrect.
530 Please login with USER and PASS.
211-Features:
 EPRT
 EPSV
 MDTM
 PASV
 REST STREAM
 SIZE
 TVFS
 UTF8
211 End",tcp,,cs.mty.itesm.mx,ftp,"131.178.5.34
,
",21
"SSH-2.0-OpenSSH_5.9p1 Debian-5ubuntu1
Key type: ssh-rsa
Key: AAAAB3NzaC1yc2EAAAADAQABAAABAQDcir0Iv9o2oYBPVC5Hv3SlOE8Iit+/EgvZ8POiNnt84mkm
n+J0loW84xMEVqxwPMqO+M7WfRvOs+2G2hiYXF0iHpfU6nmuhtZJtzx2G++BnGBd28QjybkVWuHe
BBRdNvGEA2yyxB9SYfA4CXVlN0z/3EkA4qNyZY3p00bDMB1j2dK2dP/WD5qpaK1JjCALMgVeLYe3
dgvHEXpzOFSj0KdtrA5quAEwZ5mYVNgIqA3BoOJT86oBtV96rNi0snB7AEyZEhZD5sBqAjbsME9n
u/w6UsiGjIhEg9cZJ9BvBTQT1A+u2/F1ebmJeqthKXY8RQDvfurkgTK35dNgb5E78MHd
Fingerprint: 27:2d:4e:d2:cf:73:9d:ed:b5:20:54:1c:d3:69:07:c8

Kex Algorithms:
	ecdh-sha2-nistp256
	ecdh-sha2-nistp384
	ecdh-sha2-nistp521
	diffie-hellman-group-exchange-sha256
	diffie-hellman-group-exchange-sha1
	diffie-hellman-group14-sha1
	diffie-hellman-group1-sha1

Server Host Key Algorithms:
	ssh-rsa
	ssh-dss
	ecdsa-sha2-nistp256

Encryption Algorithms:
	aes128-ctr
	aes192-ctr
	aes256-ctr
	arcfour256
	arcfour128
	aes128-cbc
	3des-cbc
	blowfish-cbc
	cast128-cbc
	aes192-cbc
	aes256-cbc
	arcfour
	,

MAC Algorithms:
	hmac-md5
	hmac-sha1
	,
	hmac-sha2-256
	hmac-sha2-256-96
	hmac-sha2-512
	hmac-sha2-512-96
	hmac-ripemd160
	,
	hmac-sha1-96
	hmac-md5-96

Compression Algorithms:
	none
	,

",tcp,OpenSSH,cs.mty.itesm.mx,ssh,"131.178.5.34
,
",22
"HTTP/1.1 200 OK
Date: Tue, 21 Nov 2017 10:39:19 GMT
Server: Apache/2.2.22 (Ubuntu)
Last-Modified: Tue, 29 May 2012 04:13:16 GMT
ETag: ""3a0a03-d8-4c1250dcc56ef""
Accept-Ranges: bytes
Content-Length: 216
Vary: Accept-Encoding
Content-Type: text/html
X-Pad: avoid browser bug

",tcp,Apache httpd,cs.mty.itesm.mx,http,"131.178.5.34
,
",80
"HTTP/1.1 200 OK
Date: Wed, 06 Dec 2017 16:11:06 GMT
Server: Apache/2.2.22 (Ubuntu)
Last-Modified: Thu, 06 Sep 2012 21:03:32 GMT
ETag: ""6c0272-75c7-4c90ed2e9ab93""
Accept-Ranges: bytes
Content-Length: 30151
Vary: Accept-Encoding
Content-Type: text/html

",tcp,Apache httpd,cs.mty.itesm.mx,http-simple-new,"131.178.5.34
,
",81
5.5.24-0ubuntu0.12.04.1,tcp,MySQL,cs.mty.itesm.mx,mysql,"131.178.5.34
,
",3306
"HTTP/1.1 400 Bad Request
Content-Type: text/html
Date: Thu, 23 Nov 2017 13:19:23 GMT
Connection: close
Content-Length: 39

",tcp,,registro.mty.itesm.mx,http,"131.178.32.8
,
",80
"HTTP/1.1 200 OK
Cache-Control: private
Content-Length: 8772
Content-Type: text/html; charset=utf-8
Server: Microsoft-IIS/8.5
X-AspNet-Version: 2.0.50727
X-Powered-By: ASP.NET
Date: Sat, 02 Dec 2017 17:53:53 GMT

",tcp,Microsoft IIS httpd,AS6342,http,"131.178.5.16
,Web Technologies
",80
"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01//EN""""http://www.w3.org/TR/html4/strict.dtd"">\r\n<HTML><HEAD><TITLE>Bad Request</TITLE>\r\n<META HTTP-EQUIV=""Content-Type"" Content=""text/html; charset=us-ascii""></HEAD>\r\n<BODY><h2>Bad Request - Invalid URL</h2>\r\n<hr><p>HTTP Error 400. The request URL is invalid.</p>\r\n</BODY></HTML>\r\n",tcp,,AS6342,xtremerat,"131.178.5.16
,Web Technologies
",81
"HTTP/1.1 200 OK
Content-Length: 1433
Content-Type: text/html
Content-Location: http://131.178.5.90/iisstart.htm
Last-Modified: Thu, 24 Mar 2005 22:19:08 GMT
Accept-Ranges: bytes
ETag: ""0d6257fbf30c51:32e2""
Server: Microsoft-IIS/6.0
X-Powered-By: ASP.NET
Date: Sun, 03 Dec 2017 07:23:38 GMT

",tcp,Microsoft IIS httpd,vc.mty.itesm.mx,http,"131.178.5.90
,
",80
"Remote Desktop Protocol
\x03\x00\x00\x0b\x06\xd0\x00\x00\x124\x00",tcp,,vc.mty.itesm.mx,rdp,"131.178.5.90
,
",3389
"HTTP/1.1 200 OK
Date: Mon, 04 Dec 2017 18:24:54 GMT
Server: Apache/2.2.8 (Win32) PHP/5.2.6
Last-Modified: Mon, 24 May 2010 16:19:39 GMT
ETag: ""300000000b99e-3569-48759685d7026""
Accept-Ranges: bytes
Content-Length: 13673
Content-Type: text/html

",tcp,Apache httpd,lem.mty.itesm.mx,http,"131.178.32.34
,
,Web Technologies
",80
"HTTP/1.1 200 OK
Content-Length: 1433
Content-Type: text/html
Content-Location: http://131.178.32.100/iisstart.htm
Last-Modified: Sat, 22 Feb 2003 00:48:30 GMT
Accept-Ranges: bytes
ETag: ""03251ecdac21:ec9""
Server: Microsoft-IIS/6.0
X-Powered-By: ASP.NET
Date: Tue, 05 Dec 2017 07:16:41 GMT

",tcp,Microsoft IIS httpd,registro_graduados.mty.itesm.mx,http,"131.178.32.100
,
",80
"HTTP/1.1 200 OK
Date: Tue, 05 Dec 2017 18:28:03 GMT
Server: Apache
Last-Modified: Wed, 12 Mar 2014 23:54:18 GMT
ETag: ""246-4f4718e04be80""
Accept-Ranges: bytes
Content-Length: 582
Content-Type: text/html

",tcp,Apache httpd,semtech.mty.itesm.mx,http,"131.178.32.142
,
",80
"HTTP/1.1 200 OK
Server: Apache-Coyote/1.1
Accept-Ranges: bytes
ETag: W/""7454-1454350114000""
Last-Modified: Mon, 01 Feb 2016 18:08:34 GMT
Content-Type: text/html
Content-Length: 7454
Date: Thu, 07 Dec 2017 05:06:40 GMT

",tcp,Apache Tomcat/Coyote JSP engine,semtech.mty.itesm.mx,http-simple-new,"131.178.32.142
,
",8080
"SSH-2.0-OpenSSH_7.4p1 Debian-10+deb9u1
Key type: ssh-ed25519
Key: AAAAC3NzaC1lZDI1NTE5AAAAIATj3gVuplxeCtYhGPVn0yqfbwCTDPYdWo2+jlowTmf/
Fingerprint: ff:6f:3c:ba:0a:5b:78:9f:55:58:cd:33:44:ff:7e:3d

Kex Algorithms:
	curve25519-sha256
	,
	ecdh-sha2-nistp256
	ecdh-sha2-nistp384
	ecdh-sha2-nistp521
	diffie-hellman-group-exchange-sha256
	diffie-hellman-group16-sha512
	diffie-hellman-group18-sha512
	diffie-hellman-group14-sha256
	diffie-hellman-group14-sha1

Server Host Key Algorithms:
	ssh-rsa
	rsa-sha2-512
	rsa-sha2-256
	ecdsa-sha2-nistp256
	ssh-ed25519

Encryption Algorithms:
	,
	aes128-ctr
	aes192-ctr
	aes256-ctr
	,
	,

MAC Algorithms:
	,
	,
	,
	,
	,
	,
	,
	hmac-sha2-256
	hmac-sha2-512
	hmac-sha1

Compression Algorithms:
	none
	,

",tcp,OpenSSH,javax.mty.itesm.mx,ssh,"131.178.5.15
,
",22
"HTTP/1.1 200 OK
Date: Wed, 06 Dec 2017 08:56:43 GMT
Server: Apache/2.4.25 (Debian)
Last-Modified: Mon, 08 Aug 2016 14:56:02 GMT
ETag: ""92-539909d687e4c""
Accept-Ranges: bytes
Content-Length: 146
Vary: Accept-Encoding
Content-Type: text/html

",tcp,Apache httpd,javax.mty.itesm.mx,http,"131.178.5.15
,
",80
"HTTP/1.1 200 OK
Date: Wed, 06 Dec 2017 15:34:54 GMT
Server: Apache/2.4.12 (Win32) OpenSSL/1.0.1m PHP/5.5.27
X-Powered-By: PHP/5.5.27
Set-Cookie: PHPSESSID=tmdb65f95pqvj2j8cmdnb92167; path=/
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Pragma: no-cache
Vary: Accept-Encoding
Transfer-Encoding: chunked
Content-Type: text/html

",tcp,Apache httpd,davem.cegs.itesm.mx,http,"131.178.5.154
,
,Web Technologies
",80
"Remote Desktop Protocol
\x03\x00\x00\x0b\x06\xd0\x00\x00\x124\x00,Certificate:
    Data:
        Version: 3 (0x2)
        Serial Number:
            75:0e:2b:98:de:48:b3:99:43:8c:88:07:d0:18:e4:97
    Signature Algorithm: sha1WithRSAEncryption
        Issuer: CN=DAVEM.svcs.itesm.mx
        Validity
            Not Before: Sep 22 03:08:16 2017 GMT
            Not After : Mar 24 03:08:16 2018 GMT
        Subject: CN=DAVEM.svcs.itesm.mx
        Subject Public Key Info:
            Public Key Algorithm: rsaEncryption
                Public-Key: (2048 bit)
                Modulus:
                    00:ef:17:53:22:25:cd:a7:de:07:b1:ef:b7:bb:fc:
                    05:a7:7a:9d:6c:a7:ab:43:36:05:b5:cc:67:84:97:
                    69:2b:c6:42:83:fe:53:58:13:b8:83:70:7f:b9:f4:
                    22:a7:ae:04:a4:e9:4a:15:39:e6:f8:61:5b:8b:e4:
                    a2:75:45:78:8c:fe:3f:85:35:90:db:53:f8:54:c5:
                    b4:9b:b3:30:e5:2e:39:b8:6f:d2:88:68:8a:61:1f:
                    3d:fd:e6:8a:57:cc:a2:b9:61:6e:0a:d2:5f:86:b3:
                    c1:d8:83:c5:b0:29:52:b7:46:3f:8e:e7:c1:4f:31:
                    46:53:7e:a7:6c:c6:0d:6a:fe:bb:3b:49:be:30:df:
                    b1:c7:e8:1d:0f:c0:70:b2:12:54:4b:7d:ea:a9:7f:
                    71:99:c1:b2:87:7d:7f:24:86:1e:26:16:2d:91:f9:
                    cb:5d:a3:48:20:a9:fa:54:42:5e:cd:6c:4f:d6:8d:
                    c8:2a:dd:79:fb:f8:a8:6c:16:0f:f6:0f:fa:00:ea:
                    63:f3:f3:9e:16:ff:af:97:f4:66:1e:bd:36:04:8d:
                    20:e0:b9:f1:89:cd:b5:67:a2:42:9a:f1:08:0c:e8:
                    7e:e0:4c:d5:d7:04:b2:85:26:aa:fb:25:f5:7d:3c:
                    8e:ce:4f:1e:ee:c1:6f:7b:a4:bf:ed:22:fb:45:36:
                    36:81
                Exponent: 65537 (0x10001)
        X509v3 extensions:
            X509v3 Extended Key Usage: 
                TLS Web Server Authentication
            X509v3 Key Usage: 
                Key Encipherment, Data Encipherment
    Signature Algorithm: sha1WithRSAEncryption
         2f:ae:83:9e:b9:68:ce:ad:90:79:c1:37:1e:dd:25:bd:09:76:
         1c:cd:27:f5:52:fe:93:c2:48:40:83:14:81:a9:bd:2a:bc:4b:
         d2:7a:a6:f4:df:6f:e6:ac:00:8f:27:d9:53:7b:9e:c8:5d:02:
         8b:6a:70:e8:48:81:f3:67:98:42:ec:48:1a:a4:d0:7c:68:f1:
         19:b8:08:b6:df:c8:8f:8a:8a:1f:24:7a:be:77:6e:cb:1e:39:
         1f:de:83:71:e7:74:11:b9:6f:f7:03:9b:71:1d:86:92:7f:45:
         e4:32:28:3f:a8:db:9e:2e:cd:6e:3e:1a:74:6f:6f:da:ed:73:
         6b:44:26:10:e1:dc:2d:f4:31:7f:91:51:33:29:27:f9:d6:7e:
         54:a9:84:8c:f4:eb:5d:81:35:10:30:61:75:85:64:54:c9:86:
         34:3c:af:93:48:58:dc:5e:3b:00:06:83:44:71:af:54:2c:87:
         b8:aa:70:76:23:e5:06:71:09:da:a9:1a:77:51:56:99:9c:d4:
         09:d8:c9:59:2b:60:6d:50:b8:60:6c:1b:9e:8b:75:9f:86:83:
         73:ec:3c:0e:e8:d2:9d:f2:b3:44:db:23:e6:dd:0c:7f:ed:0f:
         fe:31:41:db:6d:62:9f:72:5a:ed:8c:44:a5:ac:dc:18:09:1d:
         4b:2d:09:f8
",tcp,,davem.cegs.itesm.mx,rdp,"131.178.5.154
,
,Web Technologies
",3389
"HTTP/1.1 401 Unauthorized
Content-Length: 51
Content-Type: text/plain
Server: Microsoft-IIS/6.0
WWW-Authenticate: Negotiate
WWW-Authenticate: NTLM
X-Powered-By: ASP.NET
Date: Wed, 06 Dec 2017 21:07:03 GMT

",tcp,Microsoft IIS httpd,itesm.mtycrm.mty.itesm.mx,http,"131.178.32.18
,
",80
"HTTP/1.1 200 OK
Server: Microsoft-IIS/5.1
X-Powered-By: ASP.NET
Content-Location: http://131.178.6.6/index.htm
Date: Wed, 06 Dec 2017 22:36:25 GMT
Content-Type: text/html
Accept-Ranges: bytes
Last-Modified: Tue, 18 Aug 2015 16:38:25 GMT
ETag: ""e29b904dd4d9d01:ac5""
Content-Length: 8232

",tcp,Microsoft IIS httpd,ibm-gbs.mty.itesm.mx,http,"131.178.6.6
,
",80
"HTTP/1.1 200 OK
Server: nginx/1.10.3 (Ubuntu)
Date: Wed, 29 Nov 2017 17:41:09 GMT
Content-Type: text/html; charset=UTF-8
Content-Length: 2623
Connection: keep-alive
X-Powered-By: Express
Access-Control-Allow-Origin: *
Accept-Ranges: bytes
ETag: W/""a3f-wj8HclXwBYbd6hGH+8UMb7MmJ0M""

",tcp,nginx,AS6342,http,"131.178.32.110
,Web Technologies
",80
"220 Servidor de Becas
530 Login or password incorrect!
214-The following commands are recognized:
   USER   PASS   QUIT   CWD    PWD    PORT   PASV   TYPE
   LIST   REST   CDUP   RETR   STOR   SIZE   DELE   RMD 
   MKD    RNFR   RNTO   ABOR   SYST   NOOP   APPE   NLST
   MDTM   XPWD   XCUP   XMKD   XRMD   NOP    EPSV   EPRT
   AUTH   ADAT   PBSZ   PROT   FEAT   MODE   OPTS   HELP
   ALLO   MLST   MLSD   SITE   ,   STRU   CLNT   MFMT
214 Have a nice day.
211-Features:
 MDTM
 REST STREAM
 SIZE
 MLST type*;size*;modify*;
 MLSD
 AUTH SSL
 AUTH TLS
 UTF8
 CLNT
 MFMT
211 End",tcp,,AS6342,ftp,"131.178.5.17
",21
"HTTP/1.1 400 Bad Request
Content-Type: text/html
Date: Thu, 23 Nov 2017 23:10:08 GMT
Connection: close
Content-Length: 39

",tcp,,AS6342,http,"131.178.5.17
",80
"Remote Desktop Protocol
\x03\x00\x00\x0b\x06\xd0\x00\x00\x124\x00",tcp,,AS6342,rdp,"131.178.5.17
",3389
